% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 58.93    0.953615           8    118579           poll
 15.38    0.248817           1    168191    161700 recvmsg
 10.27    0.166140           3     56813         9 futex
  6.70    0.108464           3     42027           write
  5.23    0.084670           2     49315           read
  1.00    0.016173           3      5026           mprotect
  0.86    0.013843           3      4160           madvise
  0.78    0.012588           3      4938           writev
  0.43    0.007010           8       909           getpid
  0.08    0.001356           2       662       122 stat
  0.08    0.001260           4       323           mmap
  0.07    0.001072           6       176           openat
  0.04    0.000589           2       352           fcntl
  0.03    0.000501         501         1           restart_syscall
  0.03    0.000438           3       166           fallocate
  0.02    0.000380           2       162           munmap
  0.02    0.000264           1       491           dup
  0.02    0.000257           1       423           close
  0.01    0.000198           1       166           unlink
  0.01    0.000122           3        40           socketpair
  0.01    0.000102           2        52           getrusage
  0.01    0.000087           2        58           fstat
  0.00    0.000067          13         5           clone
  0.00    0.000046           1        49           lseek
  0.00    0.000023           1        24           lstat
  0.00    0.000017           3         6           getrandom
  0.00    0.000014           7         2           shutdown
  0.00    0.000004           1         7           gettid
  0.00    0.000000           0         1           pwrite64
  0.00    0.000000           0        20        12 access
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         4           getuid
------ ----------- ----------- --------- --------- ----------------
100.00    1.618117                453150    161843 total
