% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 75.15    1.443119          14    101204           poll
 12.15    0.233409           1    164639    154861 recvmsg
  3.77    0.072469           2     36320           read
  3.27    0.062822           3     24461         7 futex
  3.18    0.061027           2     26388           write
  1.19    0.022921           3      7209           writev
  0.70    0.013405           6      2274           mprotect
  0.21    0.004082           3      1355           madvise
  0.15    0.002959           2      1206       278 stat
  0.04    0.000682           3       260           fcntl
  0.03    0.000643          23        28           getrusage
  0.03    0.000481           2       231        38 openat
  0.02    0.000373           2       161           mmap
  0.02    0.000314           2       136           getpid
  0.01    0.000239           1       285           close
  0.01    0.000233          39         6           clone
  0.01    0.000211           1       144           clock_gettime
  0.01    0.000126           1        91           dup
  0.01    0.000121           1       227           fstat
  0.01    0.000120         120         1           restart_syscall
  0.00    0.000092           4        21           fallocate
  0.00    0.000089           1        90           lseek
  0.00    0.000065           2        38           eventfd2
  0.00    0.000062           1       115           munmap
  0.00    0.000044           6         8           socketpair
  0.00    0.000037           7         5           uname
  0.00    0.000029           1        20           unlink
  0.00    0.000017           2         8           sendto
  0.00    0.000015           1        19           access
  0.00    0.000013           4         3           inotify_add_watch
  0.00    0.000012           2         6           recvfrom
  0.00    0.000010           1         8           lstat
  0.00    0.000008           4         2           socket
  0.00    0.000008           4         2           connect
  0.00    0.000007           4         2           sendmsg
  0.00    0.000002           1         4           geteuid
  0.00    0.000002           1         4           getegid
  0.00    0.000002           2         1           gettid
  0.00    0.000002           1         2           inotify_rm_watch
  0.00    0.000000           0         1           pwrite64
  0.00    0.000000           0         1           fsync
  0.00    0.000000           0         1           rename
  0.00    0.000000           0         1           chmod
  0.00    0.000000           0         1           fstatfs
------ ----------- ----------- --------- --------- ----------------
100.00    1.920272                366989    155184 total
