% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.82    0.063626           2     37852           poll
 11.35    0.018602           2     10603           writev
  1.33    0.002187           1      1605       570 openat
  1.09    0.001793           2      1091           pread64
  1.01    0.001653           1      1881           write
  1.01    0.001650          10       168           pwrite64
  0.91    0.001489           1      1465       123 access
  0.61    0.001006           1       999         2 read
  0.29    0.000473           0      1048           close
  0.23    0.000379           0      1348       722 stat
  0.22    0.000365           6        60           unlink
  0.20    0.000333           0      1055           lseek
  0.19    0.000304           0      1009           fstat
  0.11    0.000187           0       499       499 mkdir
  0.11    0.000175           0       495           lstat
  0.03    0.000057           1        78           getdents
  0.03    0.000051           1        57           fcntl
  0.01    0.000010           0        40           getrandom
  0.00    0.000002           0        14           getcwd
  0.00    0.000000           0         1           chmod
------ ----------- ----------- --------- --------- ----------------
100.00    0.163884                132585     56764 total
