% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.82    0.063626           2     37852           poll
 31.79    0.052101           1     65553     54704 recvmsg
 11.35    0.018602           2     10603           writev
  4.71    0.007722           3      2999           futex
  2.33    0.003820         764         5           wait4
  2.25    0.003687          47        78           clone
  1.33    0.002187           1      1605       570 openat
  1.09    0.001793           2      1091           pread64
  1.01    0.001653           1      1881           write
  1.01    0.001650          10       168           pwrite64
  0.91    0.001489           1      1465       123 access
  0.61    0.001006           1       999         2 read
  0.60    0.000977           2       564           munmap
  0.32    0.000527           1       596           mmap
  0.29    0.000473           0      1048           close
  0.23    0.000379           0      1348       722 stat
  0.22    0.000365           6        60           unlink
  0.20    0.000333           0      1055           lseek
  0.19    0.000304           0      1009           fstat
  0.15    0.000239           0      1008           getuid
  0.12    0.000189         189         1           shmdt
  0.11    0.000187           0       499       499 mkdir
  0.11    0.000175           0       495           lstat
  0.05    0.000083           0       278       139 recvfrom
  0.04    0.000073           3        25           mprotect
  0.03    0.000057           1        78           getdents
  0.03    0.000051           1        57           fcntl
  0.02    0.000034           1        39           brk
  0.01    0.000018           4         5           pipe
  0.01    0.000011           2         5         5 connect
  0.01    0.000011           1        22           uname
  0.01    0.000010           5         2           shmget
  0.01    0.000010           0        22           getpid
  0.01    0.000010           0        40           getrandom
  0.01    0.000009           5         2           shmat
  0.01    0.000009           2         5           socket
  0.00    0.000004           4         1           sysinfo
  0.00    0.000003           3         1           sendmsg
  0.00    0.000002           1         2           rt_sigaction
  0.00    0.000002           0        14           getcwd
  0.00    0.000002           2         1           gettid
  0.00    0.000001           1         2           shmctl
  0.00    0.000000           0         1           chmod
  0.00    0.000000           0         1           restart_syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.163884                132585     56764 total
