% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 47.85    0.000691           3       223       158 openat
 15.44    0.000223           2       100           read
 12.12    0.000175           2        82        58 stat
  7.83    0.000113           1        99           fstat
  7.76    0.000112           2        65           close
  2.91    0.000042          11         4           getdents
  1.18    0.000017           1        25           mmap
  1.11    0.000016           3         5           lstat
  0.90    0.000013          13         1           write
  0.69    0.000010           2         5         1 ioctl
  0.55    0.000008           2         4         2 readlink
  0.48    0.000007           1         8           brk
  0.35    0.000005           2         3           lseek
  0.21    0.000003           3         1           getcwd
  0.14    0.000002           0        68           rt_sigaction
  0.14    0.000002           2         1           getuid
  0.14    0.000002           2         1           getgid
  0.14    0.000002           2         1           getegid
  0.07    0.000001           1         1           geteuid
  0.00    0.000000           0        14           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8         8 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001444                   728       227 total
