% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.45    0.012869           8      1640           read
 33.54    0.010942           2      4637      3571 openat
 11.85    0.003865           3      1222       987 stat
  4.51    0.001471           1      1509           fstat
  4.46    0.001454           1      1066           close
  2.71    0.000885           2       441           mmap
  1.62    0.000528           2       212           mprotect
  0.83    0.000270           2       127           munmap
  0.49    0.000159           2        93           brk
  0.13    0.000043           2        21        21 access
  0.13    0.000041          10         4           getdents
  0.06    0.000021           4         6         1 lstat
  0.06    0.000018           5         4         2 readlink
  0.02    0.000008           1         6         2 ioctl
  0.02    0.000008           1         9           futex
  0.02    0.000007           4         2           write
  0.02    0.000006           3         2           unlink
  0.02    0.000005           1         4           lseek
  0.02    0.000005           5         1           link
  0.02    0.000005           3         2         1 statfs
  0.01    0.000004           2         2           getcwd
  0.01    0.000003           1         5           getpid
  0.01    0.000002           1         2           fcntl
  0.01    0.000002           2         1           getegid
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           geteuid
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.032624                 11097      4585 total
